k,x,scalar_root,reduced_kirchhoff,reduced_norm,full_verified,full_kirchhoff,full_norm,vertices,edges
163,0.009637085607356368,0.8302469538162964,7.546047120499111e-17,8.881784197001252e-16,True,1.0299053276874304e-14,1.7763568394002505e-15,1304,1956
165,0.009520265347029025,0.8302696775449943,1.6479873021779667e-16,4.440892098500626e-16,True,3.1237165631914365e-14,1.0880185641326534e-14,1320,1980
167,0.009406243427355066,0.8302918494665965,2.0556473190325164e-16,1.7763568394002505e-15,True,3.4926055103579046e-14,3.9968028886505635e-15,1336,2004
169,0.00929492048730948,0.8303134894366747,1.986258379993444e-16,4.440892098500626e-16,True,2.960045403233025e-14,2.5646151868841116e-14,1352,2028
171,0.009186201815005814,0.8303346163696068,1.1102230246251565e-16,4.440892098500626e-16,True,1.7987347722403513e-14,2.90878432451791e-14,1368,2052
173,0.009079997078914211,0.8303552482936863,2.7755575615628914e-17,2.220446049250313e-16,True,5.168608596672897e-15,8.659739592076221e-15,1384,2076
175,0.008976220077513778,0.8303754024024032,1.6132928326584306e-16,6.661338147750939e-16,True,3.01573002681188e-14,8.659739592076221e-15,1400,2100
177,0.008874788505920916,0.8303950951022037,2.0816681711721685e-17,4.440892098500626e-16,True,7.882583474838611e-15,1.9206858326015208e-14,1416,2124
179,0.008775623738165582,0.8304143420570101,4.9873299934333204e-17,1.3322676295501878e-15,True,5.218048215738236e-15,1.2878587085651816e-14,1432,2148
181,0.008678650623904912,0.8304331582297535,3.209238430557093e-17,4.440892098500626e-16,True,1.7763568394002505e-15,4.218847493575595e-15,1448,2172
183,0.00858379729846944,0.8304515579211458,1.8214596497756474e-17,8.881784197001252e-16,True,3.219646771412954e-15,8.881784197001252e-15,1464,2196
185,0.008490995005232828,0.8304695548059127,2.5673907444456745e-16,4.440892098500626e-16,True,5.1850884696946764e-14,9.325873406851315e-15,1480,2220
187,0.00840017792938222,0.8304871619666688,2.7755575615628914e-17,8.881784197001252e-16,True,5.773159728050814e-15,1.3766765505351941e-14,1496,2244
189,0.008311283042244665,0.8305043919256196,1.48318857196017e-16,4.440892098500626e-16,True,2.991357161974406e-14,2.19824158875781e-14,1512,2268
191,0.008224249955395635,0.8305212566742474,2.2811613709095013e-16,1.3322676295501878e-15,True,4.1027944930327465e-14,1.3211653993039363e-14,1528,2292
193,0.008139020783839988,0.8305377677011294,2.3245294578089215e-16,4.440892098500626e-16,True,4.2407917455467015e-14,9.992007221626409e-15,1544,2316
195,0.008055540017613858,0.8305539360180274,2.8015784137025435e-16,8.881784197001252e-16,True,5.023412241733638e-14,6.994405055138486e-15,1560,2340
197,0.00797375440120898,0.8305697721843655,1.4051260155412137e-16,8.881784197001252e-16,True,2.7298475979709025e-14,8.548717289613705e-15,1576,2364
199,0.007893612820268962,0.8305852863302196,2.237793284010081e-16,2.220446049250313e-16,True,4.939278153148763e-14,1.2878587085651816e-14,1592,2388
201,0.007815066195050966,0.8306004881779169,1.465841337200402e-16,1.5543122344752192e-15,True,2.7407763558695564e-14,8.215650382226158e-15,1608,2412
203,0.00773806738018615,0.8306153870623458,6.765421556309548e-17,6.661338147750939e-16,True,1.027389978647264e-14,7.105427357601002e-15,1624,2436
205,0.0076625710703085905,0.8306299919500612,5.2909066017292616e-17,1.9984014443252818e-15,True,1.1332081106818492e-14,1.9539925233402755e-14,1640,2460
207,0.007588533711155756,0.8306443114572754,5.898059818321144e-17,1.3322676295501878e-15,True,1.1303458169464875e-14,1.965094753586527e-14,1656,2484
209,0.0075159134157739655,0.8306583538667979,5.2909066017292616e-17,1.3322676295501878e-15,True,7.59548673956445e-15,1.199040866595169e-14,1672,2508
211,0.007444669885490032,0.8306721271440101,2.7582103268031233e-16,2.220446049250313e-16,True,5.6398462289219964e-14,3.885780586188048e-15,1688,2532
213,0.007374764335335795,0.8306856389519222,7.025630077706069e-17,6.661338147750939e-16,True,1.4131924797045059e-14,4.884981308350689e-15,1704,2556
215,0.007306159423635549,0.830698896665387,7.45931094670027e-17,6.661338147750939e-16,True,1.3534312559571049e-14,1.509903313490213e-14,1720,2580
217,0.007238819185487722,0.8307119073845168,1.1102230246251565e-16,4.440892098500626e-16,True,1.4099832412739488e-14,3.397282455352979e-14,1736,2604
219,0.007172708969891863,0.8307246779473575,5.334274688628682e-17,1.5543122344752192e-15,True,5.712444406391626e-15,6.217248937900877e-15,1752,2628
221,0.007107795380289952,0.8307372149418688,5.551115123125783e-17,4.440892098500626e-16,True,8.659739592076221e-15,2.0650148258027912e-14,1768,2652
223,0.007044046218307671,0.8307495247172534,4.2934406030425976e-17,8.881784197001252e-16,True,4.884981308350689e-15,1.1879386363489175e-14,1784,2676
225,0.006981430430496479,0.8307616133946731,1.3183898417423734e-16,4.440892098500626e-16,True,2.595319792408901e-14,2.1538326677728037e-14,1800,2700
227,0.006919918057891413,0.8307734868773973,2.3245294578089215e-16,6.661338147750939e-16,True,4.7107283351888185e-14,9.547918011776346e-15,1816,2724
229,0.006859480188212451,0.8307851508604096,1.43982048506075e-16,4.440892098500626e-16,True,2.783363817204787e-14,1.8762769116165146e-14,1832,2748
231,0.006800088910549188,0.8307966108395156,1.1102230246251565e-16,6.661338147750939e-16,True,2.667137344314341e-14,3.3639757646142243e-14,1848,2772
233,0.006741717272379613,0.8308078721199719,1.1102230246251565e-16,3.3306690738754696e-16,True,1.6421759785334444e-14,1.84297022087776e-14,1864,2796
235,0.006684339238783889,0.8308189398246747,1.682681771697503e-16,9.992007221626409e-16,True,4.242699941370276e-14,1.8207657603852567e-14,1880,2820
237,0.006627929653723492,0.8308298189019275,2.8796409701215e-16,1.7763568394002505e-15,True,6.176222727694025e-14,5.773159728050814e-15,1896,2844
239,0.006572464203264696,0.830840514132814,6.071532165918825e-17,9.992007221626409e-16,True,3.774758283725532e-15,9.103828801926284e-15,1912,2868
241,0.00651791938063342,0.8308510301382053,7.37257477290143e-18,4.440892098500626e-16,True,9.658940314238862e-15,2.3314683517128287e-14,1928,2892
243,0.006464272452995956,0.8308613713854112,1.1102230246251565e-16,4.440892098500626e-16,True,7.993605777301127e-15,1.9095836023552692e-14,1944,2916
