bridgeless,bridges,connected,cubic,cycle_rank,edges,elapsed_seconds,gram_rank,graph_sha256,max_conservation_residual,max_unit_norm_residual,method,name,simple,solver_cost,solver_nfev,three_edge_coloring_search_nodes,three_edge_coloring_status,valid_s2_certificate,vertices
True,[],True,True,6,15,0.00038706899999851885,3,b43e3050834a8d8844544d0695ebca2b462e910bf1bee788646d5f83148f7b03,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed4018908335,True,,,6,colourable,True,10
True,[],True,True,6,15,0.00048047699999642646,3,c0349395eea81baf57be60888a6eb2577597d22b85f76b7f534e16432417bfea,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed4016226775,True,,,6,colourable,True,10
True,[],True,True,6,15,0.0004809040000282039,3,b9e68bacd76892bcb6c7b4ffcaea773c3c83cf3b197ca76d302534781345dc04,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed557270904,True,,,6,colourable,True,10
True,[],True,True,6,15,0.00042006299997865426,3,1c77ff380ddc8e16c88a52d71cfd4534e862eb5686427549034af20adbbdb9df,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed2277556887,True,,,6,colourable,True,10
True,[],True,True,6,15,0.0005860990000883248,3,3ff8420af3e5e8e7218339b282dd1eb03ec12aed393bbe1c3baa7e79973d3e61,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed163634818,True,,,6,colourable,True,10
True,[],True,True,6,15,0.0003467779999937193,3,b4d92484f601f3bbc8d67159fae7ba5317758574c543fc03b5ea571352bc97c9,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed3964253210,True,,,10,colourable,True,10
True,[],True,True,6,15,0.0003145129999211349,3,ee4b57ff1a5a1d5cfa6ed15d37caac60edd26f0d432474f5fc928b1996c29632,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed2598441421,True,,,6,colourable,True,10
True,[],True,True,6,15,0.0003055680000443317,3,d963d6f03fa599964f041bb0d14f89a6e0e2cf5b62acc260527dda12a15b5195,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed3014394680,True,,,6,colourable,True,10
True,[],True,True,6,15,0.00029975500001455657,3,bfe72250c096b4345269ceccd35fe5589830bcf626ebf0eb0cfec7f3daabf237,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed3596257905,True,,,6,colourable,True,10
True,[],True,True,6,15,0.00038412599997172947,3,94a944516c2b20a13d72224699173d270d3671aecfe24a6bfcb6a17428aa8054,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed1895642480,True,,,6,colourable,True,10
True,[],True,True,6,15,0.000496439000016835,3,271c177e6be41a11e5ba21e2643e286ca784c8d03f144b775a20e583d06566c1,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed514491298,True,,,9,colourable,True,10
True,[],True,True,6,15,0.0003722390000575615,2,67be5af7ca8b5fbda114bbaecd4d74eb7441f1a1444eb6e5a859002ab7005f0e,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed2708220378,True,,,6,colourable,True,10
True,[],True,True,6,15,0.0007364629999528916,3,c40d9242b1fe7062892cf6784d9003ad98851235c4fcf00afed7922c37ac3363,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed1733844970,True,,,9,colourable,True,10
True,[],True,True,6,15,0.0003627869999718314,3,6332ef6233f1b29c5a95573d56efe3201f188b82acc1451867b23aa83c42feae,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed527942522,True,,,6,colourable,True,10
True,[],True,True,6,15,0.00035489200001848076,3,de55f416f2cbe88b290651fa8e1d376848a4adead752f50c2aa9b9e71618cf94,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed3675203690,True,,,8,colourable,True,10
True,[],True,True,6,15,0.0004837640000232568,3,6dfe56f4279ed5eb231857c6923760d378ecc738ef2ed260cfa4022aee479eb8,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n10_seed2790586160,True,,,6,colourable,True,10
True,[],True,True,7,18,0.00045185599992692005,3,c5a53f69ffde06bd04e190a8b259471e1a54cbdeaca44e8f4e4139455cb43057,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed3727592994,True,,,7,colourable,True,12
True,[],True,True,7,18,0.0005731339999783813,3,267e30aaf3038fe2100da8e2c8db42242dc75b2b557ce16446c44d687bf4a448,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed3312382568,True,,,7,colourable,True,12
True,[],True,True,7,18,0.0005787129999816898,3,2296d0ee2d7c1b790fd04d9352f34a99423bb63a24a50284cf60dd8448b7b29a,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed1973526061,True,,,14,colourable,True,12
True,[],True,True,7,18,0.00039379099996494915,3,b12f94f56a41e79f9be521f509e740575723b568f5270ea6014131aa624a8a9b,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed3052633931,True,,,7,colourable,True,12
True,[],True,True,7,18,0.0003647979999641393,3,1c4c974eae6bd4071844eb45e23d86b77566e32de956e0fddb7f88eae223eb22,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed1622974997,True,,,7,colourable,True,12
True,[],True,True,7,18,0.0006124700000782468,3,dd38191eb103b2977563e674f7e3a9fa38e51823054ea5fd231fe54b38a3620c,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed1945552117,True,,,7,colourable,True,12
True,[],True,True,7,18,0.0004293150000194146,3,e405a783483c39c2e3e2c86a0fceca708d6ae893172a7e1c6af1c31988ac9adb,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed3461392514,True,,,7,colourable,True,12
True,[],True,True,7,18,0.0005902410000544478,3,6879e632933f31a1815e91a1766dcc293ca132fa44c2939921654202510f5fa0,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed3832507015,True,,,7,colourable,True,12
True,[],True,True,7,18,0.00042634999999791034,3,39838e812bedea0f88295672a655ac8056ae9b15cd39d754081d712a592d8466,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed2691807567,True,,,9,colourable,True,12
True,[],True,True,7,18,0.00045044299997698545,3,580500b6f6533ff83f212b9fe4b11717b0bdc230e92011f623165e3a455012dd,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed1007208143,True,,,7,colourable,True,12
True,[],True,True,7,18,0.0005694489999541474,3,ceb0659ab082332567fb44facad5c20a387b0f3f6d8393821146aa1ed6b714d1,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed978557583,True,,,9,colourable,True,12
True,[],True,True,7,18,0.00038471100003789616,3,8ed77c853c5bd22618d1e5ff8bc3db27e34e0b66660f56eeaf0ad6e2a093535a,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed671973846,True,,,7,colourable,True,12
True,[],True,True,7,18,0.0005319109999391003,3,1889b5363d1fa3c82c39c3ed173ad6a2bfec37331ffeee7e3263aaec58b49b3a,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed552833128,True,,,7,colourable,True,12
True,[],True,True,7,18,0.0007367969999449997,3,c36a0ba09066987ab912776a81b3fe7ebf423bfdc6deec6c40ec77be0e721fd6,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed200686288,True,,,11,colourable,True,12
True,[],True,True,7,18,0.0004345629999988887,3,11684034e3e35624da8865d0bdf0d8ffdd170f63dd2f5f95cc53ba63a8114e35,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed970889420,True,,,7,colourable,True,12
True,[],True,True,7,18,0.000502639999922394,3,b0a1f203bb57a27fcbdd6829f4f493d871411ae6748a6a74bc243cdecadcc6b8,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed3980942836,True,,,7,colourable,True,12
True,[],True,True,7,18,0.0005619519999982003,3,09c64447dc7f72367caf75cb0fd26d17ac0def36f2900bdb5a319dd78a40e259,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed2302381934,True,,,11,colourable,True,12
True,[],True,True,7,18,0.0007487320000336695,3,00998fa0cd5948466e197c00d88ffb12fecc9243febec312bbd85658c4fae549,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed2097778567,True,,,7,colourable,True,12
True,[],True,True,7,18,0.0004993199999034914,3,72dd06e04c36a6cecc6453b867949249fc9133e4fd6b8a669d893c4561657490,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed925246838,True,,,10,colourable,True,12
True,[],True,True,7,18,0.0004218330000185233,3,e7882d5f61aeca9c49032500411822fbcfbd41a7e3488cffa923d0fb866b26d2,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed1614065322,True,,,9,colourable,True,12
True,[],True,True,7,18,0.00035132199991494417,3,92d5f523bc9565067d8e39d327791c96e2067b70979a58103b1f55b47077ee2a,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed1417469412,True,,,7,colourable,True,12
True,[],True,True,7,18,0.00042866900002991315,3,ab57c19e574e4a1806b3ec2facfbe81eaf6c470b06cb90e0e551130472697967,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed1046345954,True,,,7,colourable,True,12
True,[],True,True,7,18,0.0004172369999650982,3,3de3d26a35846de3825905c736e1d384cf49e47ce148e5c97b48c151916f4633,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed2542581849,True,,,7,colourable,True,12
True,[],True,True,7,18,0.0003715829999464404,3,8309c2e1887dea26a25f80fda76a73225aba8ca091b37d39baf2e0ef9e7c0630,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed3008108783,True,,,9,colourable,True,12
True,[],True,True,7,18,0.0005536539999866363,3,7b1d3c138e3b7449ccc078dd27f94d2f9d60bc8bea935a11a604070af0a7633d,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed2396165520,True,,,7,colourable,True,12
True,[],True,True,7,18,0.000380858000085027,3,f802bafd936b63a73d61db6fe28dfef02bab5761f988a013615dc245e3348979,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed1520933412,True,,,7,colourable,True,12
True,[],True,True,7,18,0.0004688800000849369,3,8659d18e77dd9b5fe00b5834732f2343f3bbe1a7ebbbec3c37a30d1d0c5bb0ba,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed3351836280,True,,,14,colourable,True,12
True,[],True,True,7,18,0.00041591899991999526,3,3d3fb2f33be573766fa5ab0ed28fc3ec472a8cecb2b3394133b26cf78d521002,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed1764534678,True,,,7,colourable,True,12
True,[],True,True,7,18,0.0005049929999358937,3,45c0b8348f626a1e122847da42d0c9a9ee9a8d269ee527d56060899c707a2904,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed3386394996,True,,,7,colourable,True,12
True,[],True,True,7,18,0.0005459449999989374,3,43543aee6a5d00f34ab828089ccf5b395a082ffafa9c608bbf34abe104a7e63b,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n12_seed2244374226,True,,,7,colourable,True,12
True,[],True,True,8,21,0.0005768529999841121,3,55206c1c255166837627e9496d35144e4f99e2c744ec652be0d9dc96694b9833,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed3730710663,True,,,12,colourable,True,14
True,[],True,True,8,21,0.0008181570000260763,3,f8684756cd37d2fb57680af8bbb5b6899bbe7283f843bd3840b9d5533eb3f63d,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed2197644861,True,,,15,colourable,True,14
True,[],True,True,8,21,0.00048364199994921364,3,acd6f2d42f0327764c217616c2278c184de518d584c646ba481f70b6739a07be,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed2468135491,True,,,10,colourable,True,14
True,[],True,True,8,21,0.000554357000055461,3,c77b92d605e45d986898db54d43a57524dd46d34b285f50ec25803e22d75082a,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed2813027577,True,,,11,colourable,True,14
